iter	Accuracy	Logloss
0	0.849875	0.6194934242
1	0.851125	0.5597090205
2	0.850125	0.5155442087
3	0.850625	0.4874665375
4	0.850625	0.461475643
5	0.852875	0.4379236788
6	0.856	0.4238511335
7	0.85625	0.4123564406
8	0.85725	0.3967064532
9	0.857625	0.3890922744
10	0.85875	0.383319305
11	0.858	0.3768174089
12	0.859875	0.3712222988
13	0.860625	0.364854033
14	0.862125	0.3595829398
15	0.862375	0.3562502236
16	0.863	0.3533448856
17	0.863375	0.3507687424
18	0.864	0.3469877047
19	0.86325	0.3452491425
20	0.86325	0.3427159672
21	0.863875	0.3405136352
22	0.8645	0.3382723482
23	0.864	0.3368195148
24	0.86375	0.3349998652
25	0.864375	0.3342140252
26	0.864375	0.3330404242
27	0.864875	0.3319274253
28	0.86525	0.3303587146
29	0.865	0.3297053253
30	0.86575	0.3288767984
31	0.8655	0.3277872425
32	0.86625	0.3267060862
33	0.867125	0.3259754737
34	0.866625	0.3252895255
35	0.866125	0.3241940217
36	0.86625	0.3236681567
37	0.86675	0.3227699145
38	0.866875	0.3225776726
39	0.86725	0.3223125912
40	0.867375	0.3220726914
41	0.867125	0.3213426033
42	0.868	0.3208114076
43	0.868375	0.3204384331
44	0.868125	0.3196089224
45	0.869	0.3189938473
46	0.869125	0.3183566695
47	0.87	0.3174968554
48	0.871125	0.3165729679
49	0.8715	0.3156413123
50	0.87125	0.3150788115
51	0.871125	0.3145788148
52	0.871875	0.3140043132
53	0.87275	0.313616982
54	0.873375	0.3130116628
55	0.873625	0.3126311132
56	0.874125	0.3119348098
57	0.87425	0.3115240244
58	0.87375	0.3112515417
59	0.8735	0.3106201466
60	0.873875	0.3098606372
61	0.874	0.3093852054
62	0.8745	0.3090323497
63	0.875125	0.3085667596
64	0.8755	0.3079120146
65	0.875375	0.3077485595
66	0.87475	0.3072901775
67	0.875375	0.3068292273
68	0.87525	0.3068092084
69	0.875625	0.3066358431
70	0.8765	0.3060064176
71	0.876875	0.3056462912
72	0.877	0.30534962
73	0.8775	0.304661019
74	0.877875	0.3044579983
75	0.878	0.3042963941
76	0.87825	0.3038860844
77	0.87875	0.3032558044
78	0.87875	0.3027886107
79	0.879375	0.3025952818
80	0.87975	0.3020944897
81	0.879625	0.3017080869
82	0.879875	0.3013171548
83	0.87975	0.3010825335
84	0.880125	0.3005195713
85	0.880125	0.3003585964
86	0.88	0.2998486853
87	0.880625	0.2993890671
88	0.880375	0.2989017239
89	0.880125	0.2983251858
90	0.88125	0.2976025106
91	0.881125	0.2971415037
92	0.881125	0.2967791818
93	0.88175	0.2961752917
94	0.881625	0.2958867337
95	0.882	0.2955064366
96	0.88225	0.2951760261
97	0.88225	0.2950311133
98	0.882375	0.2948625033
99	0.88275	0.2944184122
100	0.882875	0.2940529878
101	0.8825	0.2933241668
102	0.882625	0.2931909149
103	0.882625	0.2926983972
104	0.8825	0.29239707
105	0.88325	0.2920361455
106	0.883875	0.2916002297
107	0.884125	0.2907743909
108	0.884	0.29046286
109	0.884	0.2900893354
110	0.88475	0.28962409
111	0.885	0.2893946103
112	0.884875	0.2890580367
113	0.885	0.2887108515
114	0.885125	0.2881555737
115	0.886125	0.287562392
116	0.886	0.2869304001
117	0.88625	0.2865107742
118	0.88625	0.2862447879
119	0.886375	0.2858621253
120	0.886625	0.2854878182
121	0.88675	0.2852021748
122	0.8865	0.2848921681
123	0.88675	0.2844065901
124	0.887125	0.2839437352
125	0.88725	0.2833457608
126	0.887625	0.2828755685
127	0.88825	0.2823888121
128	0.888375	0.2818526849
129	0.88825	0.2815610688
130	0.888375	0.2812880841
131	0.888375	0.2808404104
132	0.888875	0.2805384113
133	0.889	0.28037351
134	0.889625	0.2800013896
135	0.89	0.2795016386
136	0.89	0.2793109854
137	0.889625	0.2787940354
138	0.889875	0.2782130399
139	0.890125	0.277708579
140	0.889875	0.2773085443
141	0.890125	0.2768585992
142	0.8905	0.2765354991
143	0.890625	0.2761013369
144	0.8905	0.2758824993
145	0.88975	0.2753760725
146	0.8905	0.2749594985
147	0.89025	0.2745521706
148	0.890375	0.2740663325
149	0.890125	0.2737063635
150	0.890375	0.2733388642
151	0.89075	0.2729805794
152	0.890875	0.272422145
153	0.89075	0.2721604949
154	0.891375	0.2716507089
155	0.8915	0.2711048675
156	0.891625	0.27065915
157	0.891625	0.2702999625
158	0.89225	0.2700334863
159	0.892125	0.2696746855
160	0.8925	0.2694296314
161	0.89275	0.2691590312
162	0.892625	0.268732485
163	0.8925	0.2685067274
164	0.89275	0.2681436468
165	0.893625	0.2677989319
166	0.894125	0.2674025033
167	0.89375	0.2669831296
168	0.89375	0.2664484491
169	0.894	0.2662400145
170	0.894375	0.2659469395
171	0.894875	0.2653790272
172	0.89525	0.2649115906
173	0.8955	0.2646184937
174	0.89525	0.2642742203
175	0.895875	0.2638371375
176	0.89575	0.263624615
177	0.8965	0.2632014984
178	0.89675	0.26302266
179	0.896625	0.2627385383
180	0.89675	0.2623225161
181	0.896875	0.2621460179
182	0.897125	0.2618633084
183	0.8975	0.2613791541
184	0.8975	0.2611529799
185	0.897625	0.2607875551
186	0.897625	0.2603556331
187	0.897625	0.2602227973
188	0.8975	0.25984209
189	0.8975	0.2595132296
190	0.897625	0.2592410953
191	0.897875	0.2588387572
192	0.897625	0.2585450452
193	0.89825	0.2583515376
194	0.898375	0.2578250221
195	0.899	0.2574907389
196	0.899	0.2571642171
197	0.8995	0.2569527771
198	0.899375	0.2566748603
199	0.89925	0.2564091985
200	0.899375	0.2560071571
201	0.899625	0.2557308037
202	0.8995	0.2553423352
203	0.8995	0.254994264
204	0.899625	0.2547014711
205	0.899375	0.2544736354
206	0.899625	0.2539945372
207	0.89975	0.2536121065
208	0.89925	0.2532026268
209	0.900125	0.2529603713
210	0.89975	0.2526679895
211	0.900125	0.2523675103
212	0.90025	0.2521076589
213	0.899875	0.2518138983
214	0.9	0.2516782226
215	0.900375	0.2513295525
216	0.900625	0.2510573986
217	0.90075	0.250872871
218	0.901	0.2507036151
219	0.900875	0.2504330843
220	0.901125	0.2501050381
221	0.900625	0.2498431936
222	0.901	0.2494826111
223	0.900875	0.2493505133
224	0.90175	0.2491463457
225	0.901	0.2488071735
226	0.9015	0.2487273139
227	0.901625	0.2483385657
228	0.901625	0.2482434974
229	0.90175	0.247933935
230	0.902125	0.2477890537
231	0.902125	0.247546683
232	0.902125	0.2472663453
233	0.902375	0.2470035534
234	0.902875	0.2466399987
235	0.90325	0.2462275303
236	0.903	0.2460141774
237	0.9035	0.2455705297
238	0.903875	0.2451344741
239	0.903875	0.2446917441
240	0.904	0.2442147678
241	0.904125	0.2440282132
242	0.904125	0.2438094848
243	0.905	0.2435006277
244	0.905375	0.2430926992
245	0.905375	0.242831596
246	0.9055	0.2426806935
247	0.90575	0.2424489608
248	0.9055	0.242190866
249	0.905875	0.2418626516
250	0.906125	0.241694571
251	0.906125	0.2411472406
252	0.90575	0.2409143185
253	0.905875	0.2406813613
254	0.906	0.2403349941
255	0.906125	0.2400123039
256	0.906	0.2397958995
257	0.906125	0.2395710759
258	0.90625	0.2394297209
259	0.906375	0.2391523051
260	0.906875	0.2389047007
261	0.907375	0.2386594071
262	0.907875	0.2381749419
263	0.90775	0.2378466267
264	0.907625	0.2375229218
265	0.907875	0.2372285061
266	0.908125	0.2368431492
267	0.908375	0.236483306
268	0.9085	0.2359899594
269	0.908625	0.2357267578
270	0.90875	0.2356172185
271	0.908625	0.2353439137
272	0.908875	0.2349766456
273	0.909125	0.2345924642
274	0.909625	0.2341966724
275	0.909375	0.2339475591
276	0.909625	0.2337125868
277	0.91	0.2333699539
278	0.91025	0.2329296663
279	0.910125	0.2324232791
280	0.910375	0.2322337901
281	0.9105	0.2317781627
282	0.910375	0.2315593636
283	0.9105	0.2312669435
284	0.910625	0.2309730551
285	0.910625	0.2307609417
286	0.91125	0.2303602818
287	0.91125	0.2299208556
288	0.91125	0.229645507
289	0.911625	0.2291931288
290	0.911875	0.2288835313
291	0.91175	0.2285755274
292	0.91225	0.2283707757
293	0.912125	0.2281179053
294	0.9125	0.2278608038
295	0.912875	0.2275059003
296	0.91325	0.2272199707
297	0.913625	0.226973326
298	0.91325	0.2267442142
299	0.91325	0.2265494924
300	0.913625	0.2262250342
301	0.914	0.2259827855
302	0.9135	0.2255665762
303	0.91375	0.2254067029
304	0.914	0.2252299877
305	0.914375	0.224899537
306	0.914375	0.2247055087
307	0.91425	0.2243830462
308	0.914625	0.2239956061
309	0.91525	0.2236529646
310	0.915375	0.2231307691
311	0.915625	0.2227860701
312	0.9155	0.2226024554
313	0.91625	0.2222452228
314	0.916375	0.2218699508
315	0.917	0.2216267684
316	0.917	0.2214905707
317	0.917125	0.2211986414
318	0.917125	0.220939037
319	0.916875	0.2206899254
320	0.916625	0.2203688796
321	0.916625	0.2201348786
322	0.91725	0.2198225937
323	0.917375	0.2195406829
324	0.917875	0.2193401178
325	0.91775	0.2190405279
326	0.917625	0.2186458319
327	0.91775	0.2183745729
328	0.91775	0.2181920874
329	0.918	0.2178934935
330	0.918125	0.2176733379
331	0.917875	0.2173845423
332	0.918	0.2172238359
333	0.91875	0.2168916828
334	0.918875	0.2166732208
335	0.919125	0.2162950758
336	0.9195	0.2161257772
337	0.9195	0.2158887508
338	0.919875	0.2155526584
339	0.920125	0.2152884724
340	0.92	0.2148934654
341	0.919875	0.2146228701
342	0.920375	0.2143624876
343	0.920375	0.2141696754
344	0.920375	0.213847741
345	0.92075	0.2136818885
346	0.921	0.2134276809
347	0.920875	0.2130717415
348	0.920875	0.2129073028
349	0.920875	0.2126223767
350	0.921	0.2123668149
351	0.92075	0.2121084782
352	0.92075	0.211898075
353	0.92125	0.2114189229
354	0.9215	0.2111608625
355	0.921625	0.2109662162
356	0.921625	0.2107638276
357	0.9215	0.2105908323
358	0.9215	0.2104596591
359	0.921625	0.2103068737
